#{"t_start": 1671822393.831659, "env_id": null}
r,l,t
151155.388374,3999,117.964395
156147.391284,3999,231.789392
157080.168362,3999,347.905394
151786.919279,3999,465.208391
148063.95803,3999,579.602394
160782.506415,3999,692.384394
145626.99854,3999,806.218392
142024.859279,3999,920.088392
164834.942849,3999,1031.595392
153156.208802,3999,1144.636392
161663.863389,3999,1258.011392
157799.218492,3999,1372.521393
164915.120361,3999,1488.624392
151587.124421,3999,1603.239902
157846.929159,3999,1717.872994
171989.888569,3999,1829.284995
169614.549065,3999,1939.528996
187484.210062,3999,2052.542996
209413.281363,3999,2168.931994
246356.615336,3999,2282.010993
303944.389434,3999,2395.075994
375234.398384,3999,2506.369994
463098.444224,3999,2617.685994
578554.259243,3999,2730.872019
726081.537945,3999,2844.42802
925158.97115,3999,2960.202021
1055561.708257,3999,3076.67102
1087652.095071,3930,3193.55002
1088904.478195,3693,3302.647019
1087456.621766,3619,3410.99902
1087470.704437,3524,3513.412019
1089555.330743,3484,3619.319534
1085610.771068,3459,3723.954534
1090685.810708,3381,3825.308533
1088677.241132,3407,3930.796532
1087296.942719,3333,4032.338533
1087279.812828,3353,4130.864532
1092635.446594,3333,4233.166533
1085893.494065,3315,4335.127533
1089035.298713,3270,4431.932533
1089839.072731,3264,4533.562532
1094277.432124,3289,4632.993533
1087395.316463,3256,4734.438533
1091321.366494,3288,4837.660532
1088051.456955,3242,4933.656533
1086542.400934,3257,5037.407533
1088303.328523,3278,5135.716533
1090299.329523,3273,5238.823533
1090006.757498,3266,5342.208532
1094883.207752,3246,5439.803535
1093583.302763,3257,5541.200534
1091427.118191,3250,5640.609534
1092398.685657,3247,5744.066534
1094623.851299,3258,5846.683533
1089623.426144,3230,5944.521532
1089670.078771,3222,6047.036534
1093819.182432,3231,6147.079534
1088111.844068,3206,6248.720535
1088853.00939,3223,6349.153534
1092485.217962,3229,6451.219532
1085424.149051,3216,6554.443042
1089713.276273,3217,6653.715041
1086468.491695,3222,6755.413042
1092516.345033,3231,6853.706042
1096302.303453,3228,6957.193042
1089782.147891,3214,7056.456041
1096054.073561,3226,7159.172043
1094482.852999,3217,7260.725041
1089137.225842,3207,7360.113042
1091237.815348,3217,7465.910043
1092387.121991,3226,7564.534042
1090730.152572,3222,7667.519044
1091261.260073,3206,7765.137041
1093772.920869,3227,7867.457042
1089441.596686,3210,7970.714043
1086834.184912,3207,8068.639043
1090624.426654,3210,8171.649042
1092327.624476,3218,8270.230043
1091132.364654,3219,8373.707042
1091337.02368,3208,8473.126043
1092850.375154,3193,8575.270042
1089163.666127,3196,8678.858042
1094134.739587,3223,8778.353043
1094905.937609,3204,8880.602041
1093245.797508,3213,8980.400041
1089277.443324,3195,9082.609043
1089747.168722,3209,9181.861041
1092412.212492,3211,9284.043042
1092177.325253,3216,9381.975041
1091889.701277,3201,9486.483053
1094008.834348,3206,9589.046055
1089215.097421,3199,9688.132054
1091623.098911,3194,9792.198054
1087752.9749,3203,9892.452055
1085994.03433,3193,9994.455054
1093240.562046,3200,10093.244054
1093330.058961,3200,10197.512056
1091178.352184,3201,10299.904054
1093697.733467,3208,10398.812056
1092609.654567,3210,10503.782055
1092591.897379,3201,10602.565701
1097204.99144,3211,10707.929704
1088640.801018,3185,10806.124703
1092786.467215,3206,10909.677704
1089794.919729,3181,11011.958702
1097549.084011,3214,11116.455701
1089580.092351,3196,11217.982702
1096152.864279,3196,11317.299702
1090706.598496,3191,11421.015702
1095185.826288,3213,11520.909704
1092172.083421,3191,11623.552704
1088522.680977,3190,11722.931734
1089931.089941,3198,11826.571702
1091007.789798,3193,11930.569702
1091219.263613,3195,12033.819703
1092387.948679,3186,12156.422703
1091283.01636,3194,12269.297704
1092995.470755,3190,12402.813702
1084656.475105,3192,12514.644702
1092820.195862,3198,12628.834702
1090208.160662,3194,12728.595704
1085953.0088,3196,12835.235703
1093742.204842,3208,12940.644702
1089682.115381,3199,13040.202704
1087038.828148,3178,13145.889704
1092678.246442,3205,13247.601703
1093525.093981,3205,13352.460702
1092588.511725,3193,13459.102702
1090382.868449,3189,13564.828702
1088093.139361,3185,13669.851702
1087348.212212,3190,13781.240916
1093989.541575,3195,13884.460914
1091350.514095,3208,13985.926956
1090333.601766,3188,14090.388145
1094012.885859,3191,14188.731145
1094005.535765,3204,14293.882145
1092471.04445,3207,14394.315145
1093350.328223,3197,14498.435144
1094096.943679,3199,14604.596146
1091940.234042,3193,14704.314144
1093061.482385,3201,14807.831144
1092804.574686,3195,14907.364145
1089201.490645,3197,15011.869144
1092196.362444,3201,15110.349144
1085614.281983,3172,15214.453145
1090840.01612,3186,15314.185145
1092546.207352,3188,15416.877145
1091291.476415,3191,15525.798145
1091431.494115,3186,15623.812144
1091121.100871,3185,15726.489146
1087640.927249,3183,15824.646144
1085894.812578,3187,15930.187143
1092946.901219,3201,16029.033144
1095931.480075,3197,16132.907654
1096220.611836,3207,16232.157656
1090516.98899,3177,16335.993655
